eta,rho,Hamming,rho_c_estimate
0.0005,0.006,0.415,0.009991997458481202
0.0005,0.006500000000000001,0.415,0.009991997458481202
0.0005,0.007,0.41,0.009991997458481202
0.0005,0.0075,0.415,0.009991997458481202
0.0005,0.008,0.445,0.009991997458481202
0.0005,0.0085,0.445,0.009991997458481202
0.0005,0.009000000000000001,0.435,0.009991997458481202
0.0005,0.0095,0.46,0.009991997458481202
0.0005,0.01,0.46,0.009991997458481202
0.0005,0.0105,0.47,0.009991997458481202
0.0005,0.011,0.455,0.009991997458481202
0.0005,0.0115,0.47,0.009991997458481202
0.0005,0.012,0.46,0.009991997458481202
0.0005,0.0125,0.46,0.009991997458481202
0.0005,0.013000000000000001,0.465,0.009991997458481202
0.0005,0.0135,0.47,0.009991997458481202
0.0005,0.014,0.475,0.009991997458481202
0.0005,0.0145,0.48,0.009991997458481202
0.0005,0.015,0.475,0.009991997458481202
0.0005,0.0155,0.495,0.009991997458481202
0.0005,0.016,0.47,0.009991997458481202
0.0005,0.0165,0.48,0.009991997458481202
0.0005,0.017,0.485,0.009991997458481202
0.0005,0.0175,0.485,0.009991997458481202
0.0005,0.018000000000000002,0.48,0.009991997458481202
0.0005,0.0185,0.48,0.009991997458481202
0.0005,0.019,0.49,0.009991997458481202
0.0005,0.0195,0.49,0.009991997458481202
0.0005,0.02,0.48,0.009991997458481202
0.001,0.0,0.495,0.009990995642754505
0.001,0.0005,0.22,0.009990995642754505
0.001,0.001,0.255,0.009990995642754505
0.001,0.0015,0.28,0.009990995642754505
0.001,0.002,0.285,0.009990995642754505
0.001,0.0025,0.315,0.009990995642754505
0.001,0.003,0.35,0.009990995642754505
0.001,0.0035,0.36,0.009990995642754505
0.001,0.004,0.355,0.009990995642754505
0.001,0.0045000000000000005,0.375,0.009990995642754505
0.001,0.005,0.405,0.009990995642754505
0.001,0.0055,0.41,0.009990995642754505
0.001,0.006,0.405,0.009990995642754505
0.001,0.006500000000000001,0.41,0.009990995642754505
0.001,0.007,0.43,0.009990995642754505
